Address,Category,risk_score%
0x28C6c06298d514Db089934071355E5743bf21d60,Binance,10
0xd1b7cCa582578bFF37faab547a4D50FF6342c6D0,Bitzlato,10
0x05f51aab068caa6ab7eeb672f88c180f67f17ec7,ABCC,10
0x4df5f3610e2471095a130d7d934d551f3dde01ed,ATAIX,10
0xadb72986ead16bdbc99208086bd431c1aa38938e,Beaxy,10
0x7a10ec7d68a048bdae36a70e93532d31423170fa,Bgogo,10
0xce1bf8e51f8b39e51c6184e059786d1c0eaf360f,Bgogo,10
0xf73c3c65bde10bf26c2e1763104e609a41702efe,Bibox,10
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,BigONE,10
0x6efb20f61b80f6a7ebe7a107bace58288a51fb34,Biki.com,10
0xf7793d27a1b76cdf14db7c83e82c772cf7c92910,Bilaxy,10
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance,10
0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance,10
0x564286362092d8e7936f0549571a803b203aaced,Binance,10
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance,10
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance,10
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance,10
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance,10
0xf977814e90da44bfa03b6295a0616a897441acec,Binance,10
0xab83d182f3485cf1d6ccdd34c7cfef95b4c08da4,Binance,10
0x4b729cf402cfcffd057e254924b32241aedc1795,Bit-Z,10
0x7c49e1c0e33f3efb57d64b7690fa287c8d15b90a,Bit2C,10
0xdf5021a4c1401f1125cd347e394d977630e17cf7,Bitbox,10
0x28ebe764b8f9a853509840645216d3c2c0fd774b,BiteBTC,10
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex,10
0x7727e5113d1d161373623e5f49fd568b4f543a9e,Bitfinex,10
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex,10
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex,10
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex,10
0x8fa8af91c675452200e49b4683a33ca2e1a34e42,Bithumb,10
0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb,10
0x2140efd7ba31169c69dfff6cdc66c542f0211825,Bithumb,10
0x3fbe1f8fc5ddb27d428aa60f661eaaab0d2000ce,Bithumb,10
0xe79eef9b9388a4ff70ed7ec5bccd5b928ebb8bd1,BitMart,10
0x03bdf69b1322d623836afbd27679a1c0afa067e9,Bitmax,10
0x4b1a99467a284cc690e3237bc69105956816f762,Bitmax,10
0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,Bitmax,10
0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp,10
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,10
0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,Bittrex,10
0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex,10
0xaa90b4aae74cee41e004bc45e45a427406c4dcae,BitUN.io,10
0xf8d04a720520d0bcbc722b1d21ca194aa22699f2,BitUN.io,10
0xfb9f7f41319157ac5c5dccae308a63a4337ad5d9,Bity.com,10
0x73957709695e73fd175582105c44743cf0fb6f2f,Bw.com,10
0xd7c866d0d536937bf9123e02f7c052446588189f,C2CX:,10
0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,Cashierest,10
0xfd648cc72f1b4e71cbdda7a0a91fe34d32abd656,ChainX,10
0x96fc4553a00c117c5b0bed950dd625d1c16dc894,Changelly,10
0x8958618332df62af93053cb9c535e26462c959b0,Cobinhood,10
